
2024/07/06 (01:17:59) | ===> btop++ v.1.3.2
2024/07/06 (01:17:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (02:25:42) | ===> btop++ v.1.3.2
2024/07/06 (02:25:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (03:52:59) | ===> btop++ v.1.3.2
2024/07/06 (03:52:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (18:01:05) | ===> btop++ v.1.3.2
2024/07/06 (18:01:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (18:01:07) | ===> btop++ v.1.3.2
2024/07/06 (18:01:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (18:01:17) | ===> btop++ v.1.3.2
2024/07/06 (18:01:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (18:01:29) | ===> btop++ v.1.3.2
2024/07/06 (18:01:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (18:01:36) | ===> btop++ v.1.3.2
2024/07/06 (18:01:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (18:29:06) | ===> btop++ v.1.3.2
2024/07/06 (18:29:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (18:29:13) | ===> btop++ v.1.3.2
2024/07/06 (18:29:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (18:29:53) | ===> btop++ v.1.3.2
2024/07/06 (18:29:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (21:12:56) | ===> btop++ v.1.3.2
2024/07/06 (21:12:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/06 (21:13:02) | INFO: Logger set to INFO
2024/07/06 (21:13:02) | INFO: Logger set to DEBUG
